JoiningYear,PaymentTier,Age,ExperienceInCurrentDomain,Gender_Male,EverBenched_Yes,Education_Masters,Education_PHD,City_New Delhi,City_Pune,LeaveOrNot
2013,3,30,0,True,False,True,False,True,False,1
2012,3,25,3,True,False,False,False,False,False,0
2017,2,29,2,True,False,True,False,False,True,0
2012,3,24,2,True,False,True,False,False,True,0
2017,2,35,2,True,False,True,False,True,False,0
2014,3,38,1,False,False,False,False,True,False,0
2017,3,33,0,False,False,True,False,True,False,1
2017,2,27,5,False,False,False,False,True,False,0
2014,3,25,3,False,False,False,False,False,False,0
2014,3,34,5,True,False,False,False,False,True,0
2015,3,29,1,False,False,False,True,False,False,0
2014,3,28,0,False,False,False,True,True,False,0
2017,3,27,5,False,True,False,False,True,False,0
2016,3,27,5,True,True,False,False,False,False,0
2012,3,37,4,True,False,False,False,False,False,0
2013,2,30,5,False,False,False,False,False,True,1
2015,3,29,1,False,False,False,False,False,False,0
2014,3,35,4,False,False,False,False,False,False,0
2015,2,26,4,False,False,False,False,False,True,1
2018,3,26,4,True,False,False,True,False,True,1
2015,3,26,4,True,False,False,False,False,True,0
2017,2,28,2,False,False,False,False,False,False,1
2017,2,41,2,False,False,False,False,False,True,1
2017,2,26,4,True,False,False,False,True,False,0
2016,3,23,1,True,False,False,False,False,True,0
2013,3,31,2,True,False,False,False,False,False,1
2018,3,36,1,False,True,False,False,False,False,1
2014,3,26,4,True,False,False,False,False,False,1
2015,1,29,2,True,False,False,True,True,False,0
2015,3,26,4,False,False,False,False,True,False,0
2015,3,28,2,True,False,False,False,False,False,0
2013,3,28,1,True,True,False,False,False,False,0
2014,3,27,5,False,True,False,False,True,False,0
2018,3,26,4,True,True,False,False,False,False,1
2015,3,28,4,True,True,False,False,False,False,0
2012,3,26,4,True,False,False,False,False,False,0
2016,3,29,2,True,False,False,False,False,False,0
2017,2,24,2,False,False,False,False,False,True,1
2013,3,41,0,True,False,True,False,True,False,0
2017,3,33,5,True,False,True,False,True,False,0
2015,3,38,2,False,False,False,False,False,False,0
2014,1,28,5,False,False,False,False,False,False,0
2012,3,25,3,True,False,False,False,False,False,0
2013,3,28,5,True,False,False,False,False,False,0
2015,2,28,1,False,False,False,True,True,False,0
2013,3,28,1,False,False,False,False,False,False,1
2012,3,28,2,False,False,False,False,False,False,0
2018,3,24,2,True,False,False,False,False,False,1
2015,3,27,5,False,True,False,False,False,True,1
2017,3,28,2,True,False,True,False,True,False,0
2012,3,30,4,True,False,False,True,True,False,0
2015,3,36,4,True,False,False,False,False,False,0
2015,2,30,2,False,False,True,False,False,True,1
2012,3,38,3,True,False,False,False,False,False,0
2015,3,38,0,False,False,False,False,True,False,0
2014,3,34,1,True,True,False,False,False,False,0
2014,3,28,2,True,False,True,False,True,False,0
2014,2,26,4,True,False,False,False,False,True,0
2017,2,28,3,True,False,True,False,True,False,0
2013,1,30,1,True,False,False,False,False,False,0
2015,1,32,5,False,False,False,False,False,True,1
2012,2,27,5,False,False,False,False,False,True,1
2017,2,24,2,True,False,True,False,True,False,1
2012,3,27,5,False,False,False,False,False,False,0
2017,3,26,4,True,False,False,False,False,False,0
2013,3,28,1,True,False,False,False,False,True,0
2012,3,40,3,True,False,False,False,True,False,0
2015,3,27,5,True,False,False,False,False,False,0
2013,3,32,0,True,False,False,False,False,False,0
2015,3,40,0,True,True,False,False,False,True,0
2014,3,30,1,True,False,False,False,False,False,1
2015,3,28,2,True,False,False,False,False,True,0
2017,2,27,5,False,False,False,False,True,False,0
2014,3,28,1,False,False,True,False,True,False,0
2014,3,39,5,True,False,False,False,False,False,0
2013,3,30,0,True,False,False,False,False,True,0
